Date,Open ,High,Low,Close,Adj Close,Volume,Datetimes
"Jan 2, 2019",259.28,269.75,256.58,267.66,267.66,"11,679,500",2019-01-02
"Jan 3, 2019",270.2,275.79,264.43,271.2,271.2,"14,969,600",2019-01-03
"Jan 4, 2019",281.88,297.8,278.54,297.57,297.57,"19,330,100",2019-01-04
"Jan 7, 2019",302.1,316.8,301.65,315.34,315.34,"18,620,100",2019-01-07
"Jan 8, 2019",319.98,320.59,308.01,320.27,320.27,"15,359,200",2019-01-08
"Jan 9, 2019",317.71,323.35,313.5,319.96,319.96,"13,343,200",2019-01-09
"Jan 10, 2019",314.57,325.37,312.5,324.66,324.66,"13,472,500",2019-01-10
"Jan 11, 2019",330.96,341.09,328.52,337.59,337.59,"19,500,400",2019-01-11
"Jan 14, 2019",334.24,335.48,329.13,332.94,332.94,"10,499,600",2019-01-14
"Jan 15, 2019",349.6,357.22,347,354.64,354.64,"21,181,200",2019-01-15
"Jan 16, 2019",354,358.85,348.11,351.39,351.39,"15,385,500",2019-01-16
"Jan 17, 2019",349.5,355.79,346.41,353.19,353.19,"18,871,200",2019-01-17
"Jan 18, 2019",351.97,353,336.73,339.1,339.1,"26,621,000",2019-01-18
"Jan 22, 2019",334.89,336.88,321.03,325.16,325.16,"17,941,400",2019-01-22
"Jan 23, 2019",328.25,331.75,318.6,321.99,321.99,"13,480,100",2019-01-23
"Jan 24, 2019",320.6,331.8,319,326.67,326.67,"11,131,600",2019-01-24
"Jan 25, 2019",328.72,340,328.51,338.05,338.05,"11,152,900",2019-01-25
"Jan 28, 2019",334.7,336.3,328.88,335.66,335.66,"8,652,100",2019-01-28
"Jan 29, 2019",335.87,338.22,328.15,328.9,328.9,"7,655,200",2019-01-29
"Jan 30, 2019",332.75,341.78,330.8,340.66,340.66,"9,234,500",2019-01-30
"Jan 31, 2019",339.68,345.99,338.09,339.5,339.5,"8,535,500",2019-01-31
"Feb 1, 2019",337.18,346.84,336.5,339.85,339.85,"9,827,800",2019-02-01
"Feb 4, 2019",342.6,352,341.3,351.34,351.34,"9,051,400",2019-02-04
"Feb 5, 2019",353.2,360,352.9,355.81,355.81,"9,046,600",2019-02-05
"Feb 6, 2019",357,357.04,347.19,352.19,352.19,"6,717,700",2019-02-06
"Feb 7, 2019",347.9,348.75,339.02,344.71,344.71,"7,864,500",2019-02-07
"Feb 8, 2019",338,348,338,347.57,347.57,"7,561,400",2019-02-08
"Feb 11, 2019",350,352.87,344.81,345.73,345.73,"5,454,900",2019-02-11
"Feb 12, 2019",348.09,360,346.52,359.97,359.97,"10,429,400",2019-02-12
"Feb 13, 2019",357.3,359.6,350.28,351.77,351.77,"10,559,100",2019-02-13
"Feb 14, 2019",351.75,360.45,348.33,359.07,359.07,"9,295,300",2019-02-14
"Feb 15, 2019",358.47,364.4,355.5,356.87,356.87,"9,230,000",2019-02-15
"Feb 19, 2019",355.8,365,355.32,361.92,361.92,"7,396,600",2019-02-19
"Feb 20, 2019",364.85,366.71,356.7,359.91,359.91,"8,110,700",2019-02-20
"Feb 21, 2019",360.03,362.85,353.88,356.97,356.97,"6,227,900",2019-02-21
"Feb 22, 2019",360.34,366.13,360.05,363.02,363.02,"7,088,200",2019-02-22
"Feb 25, 2019",367.01,371.49,363.79,363.91,363.91,"7,569,300",2019-02-25
"Feb 26, 2019",362.98,365.7,359.33,364.97,364.97,"4,944,600",2019-02-26
"Feb 27, 2019",363.5,368.03,359.8,362.87,362.87,"5,629,900",2019-02-27
"Feb 28, 2019",362.47,366.39,357.71,358.1,358.1,"6,186,800",2019-02-28
"Mar 1, 2019",362.26,362.87,354.69,357.32,357.32,"5,526,500",2019-03-01
"Mar 4, 2019",359.72,362.25,348.04,351.04,351.04,"7,487,000",2019-03-04
"Mar 5, 2019",351.46,356.17,348.25,354.3,354.3,"5,937,800",2019-03-05
"Mar 6, 2019",353.6,359.88,351.7,359.61,359.61,"6,211,900",2019-03-06
"Mar 7, 2019",360.16,362.86,350.5,352.6,352.6,"6,151,300",2019-03-07
"Mar 8, 2019",345.75,349.92,342.47,349.6,349.6,"6,898,800",2019-03-08
"Mar 11, 2019",352,358.98,350.03,358.86,358.86,"5,387,300",2019-03-11
"Mar 12, 2019",359.37,360.13,353.8,356.27,356.27,"5,164,600",2019-03-12
"Mar 13, 2019",355.81,362.48,352.77,361.21,361.21,"6,444,100",2019-03-13
"Mar 14, 2019",360.5,363.84,358.1,358.82,358.82,"5,271,400",2019-03-14
"Mar 15, 2019",361.02,364,358.89,361.46,361.46,"8,444,500",2019-03-15
"Mar 18, 2019",362.47,370.97,361.86,363.44,363.44,"7,194,700",2019-03-18
"Mar 19, 2019",366.4,366.96,356.8,358.78,358.78,"7,541,400",2019-03-19
"Mar 20, 2019",358.91,375.9,357.01,375.22,375.22,"10,917,200",2019-03-20
"Mar 21, 2019",374,379,370.61,377.87,377.87,"8,544,000",2019-03-21
"Mar 22, 2019",375.95,376.43,360.04,361.01,361.01,"8,661,300",2019-03-22
"Mar 25, 2019",359,367.04,357.44,366.23,366.23,"8,473,800",2019-03-25
"Mar 26, 2019",367.87,368.38,358.02,359.97,359.97,"7,666,500",2019-03-26
"Mar 27, 2019",361,362.47,350.37,353.37,353.37,"7,852,400",2019-03-27
"Mar 28, 2019",354.49,355.94,349.2,354.61,354.61,"4,361,000",2019-03-28
"Mar 29, 2019",357.16,358.25,353.71,356.56,356.56,"4,705,600",2019-03-29
"Apr 1, 2019",359,368.33,358.51,366.96,366.96,"7,036,100",2019-04-01
"Apr 2, 2019",366.25,368.42,362.22,367.72,367.72,"5,158,700",2019-04-02
"Apr 3, 2019",369.26,373.41,366.19,369.75,369.75,"5,368,900",2019-04-03
"Apr 4, 2019",370.07,372.05,362.4,367.88,367.88,"4,627,300",2019-04-04
"Apr 5, 2019",369,369.8,364.66,365.49,365.49,"3,905,500",2019-04-05
"Apr 8, 2019",365.11,365.94,359.93,361.41,361.41,"4,653,800",2019-04-08
"Apr 9, 2019",360.54,366.74,359,364.71,364.71,"5,439,200",2019-04-09
"Apr 10, 2019",365.79,368.85,362.25,363.92,363.92,"4,545,600",2019-04-10
"Apr 11, 2019",365,370.12,360.81,367.65,367.65,"6,526,900",2019-04-11
